연번,단어_용어,이표기_오표기,대안어(안)
1131,패치워크,,"조각천, 조각천기법"
1132,패키지 딜,,일괄 신고
1133,패트롤,,안전 요원
1134,패트롤 카,,순찰차
1135,팩션,,각색실화
1136,팩터,,인수
1137,팩터링,,채권 관리업
1138,팬시점,,선물 가게
1139,팬츠 슈트,,바지 정장
1140,팬터마임,,무언극
1141,팰릿,,"운반대, 운반함"
1142,팸 투어,,"사전 답사 여행, 홍보 여행, 초청 홍보 여행"
1143,팹리스,,반도체 설계 전문 기업
1144,퍼걸러,,"그늘막, 볕가리개"
1145,퍼네이션,,놀이형 기부
1146,퍼머컬처,,"지속 가능한 농업, 지속 가능한 문화"
1147,퍼블리셔,,"공급사, 배급사"
1148,퍼블리시티,,"광고, 대중성"
1149,퍼블리싱,,출판
1150,퍼블릭 시어터,,공공 극장
1151,퍼블릭 아트,,공공 예술
1152,퍼블릭 코스,,대중 골프장
1153,퍼스낼리티,퍼스널리티,개성
1154,퍼스널 모빌리티,,1인 전동차
1155,퍼스트 무버,,선도자
1156,퍼실리테이션,,"촉진, 도움"
1157,퍼실리테이터,,"도우미, 조력자, 촉진자"
1158,퍼커셔니스트,,타악기 연주자
1159,퍼펙트 스톰,,초대형 경제 위기
1160,펀 세이빙,,놀이형 저축
1161,펀더멘털,,"기초 여건, 경제 기초 여건, 기초, 기초 요건, 주요 거시 경제 지표"
1162,펀슈머,,오락적 소비자
1163,페넌트 레이스,,①정규 경기 ②정규 레이스 
1164,페널티 에어리어,,벌칙구역
1165,페달링,,발판 밟기
1166,페스타,,축제
1167,페스트,,흑사병
1168,페시미스트,,"비관주의자, 염세주의자"
1169,페어그라운드,,"내역, 축제 마당, 품평회장, 박람회장"
1170,페어웨이,,적정 구역
1171,페이먼트,,"결제, 지불, 지급"
1172,페이스 리프트,,"외관 개선, 부분 변경"
1173,페이스 실드,페이스 쉴드,얼굴 가림막
1174,페이저,,무선 호출기
1175,페이징,,무선 호출
1176,페이퍼 메이킹,,"종이로 만들기, 종이 공예"
1177,페이퍼리스,,"종이 없는, 전자 문서화"
1178,페인트 모션,,속임 동작
1179,페일콘,,실패 공유 모임
1180,페치카,,벽난로
1181,페트롤,,유화(油畵) 기름
1182,페티켓,펫티켓,반려동물 공공 예절
1183,펜네임,,필명
1184,펜더,,충격막이
1185,펜트업 효과,,수요 분출 효과
1186,펠로,,"동료, (동료) 연구자, (동료) 전문가"
1187,펠로십,"펠로우십, 펠로우쉽, 펠로쉽",연구 지원금
1188,펫 로스 증후군,,반려동물 상실 증후군
1189,펫 팸족,,반려동물 돌봄족
1190,펫 프렌들리,,반려동물 친화
1191,펫코노미,,반려동물 산업
1192,포멀 웨어,,정장
1193,포모 증후군,,소외 불안 증후군
1194,포스트 워,,"전쟁 이후, 전후"
1195,포워더,,화물 운송 주선인
1196,포지티브 규제,,최소 허용 규제
1197,포커스 마켓,,주요 시장
1198,포켓 정원,,"작은 정원, 세대별 개인 정원"
1199,포켓치프,,주머니 손수건
1200,포크 플레이,,민속극
1201,포크리프트,,지게차
1202,포터블,,휴대용
1203,포트 세일즈,,"항만 영업, 선박 판매"
1204,포트 홀,,"노면 홈, 도로 파임, 노면 구멍, 바닥 홈"
1205,포퓰리스트,,"대중주의자, 대중 영합주의자"
1206,폴리널리스트,,정치 참여 언론인
1207,폴리슈머,,"정책 필요 계층, 복지 소외층"
1208,폴리시 믹스,,정책 조합
1209,폴리싱,,다듬기
1210,폴리페서,,"정치 철새 교수, 정치 참여 교수, 정치 편향 교수"
1211,푸드 리퍼브,,식자재 새활용
1212,푸드 세러피,푸드 테라피,"요리 예술 치료, 음식 치료, 먹거리 치유"
1213,푸드 페어링,,"먹거리 궁합, 음료 궁합"
1214,푸드 플랜,,먹거리 순환 종합 계획
1215,푸드테크,,첨단 식품 기술
1216,풀 시드,,전 경기 출전권
1217,풀 시스템,,"공동 취재, 공동 취재 방식"
1218,풀 애니메이션,,순수 만화 영화
1219,풀링 검사,,취합 (선별) 검사
1220,풀필먼트,,"물류 일괄 처리, 고객 주문 처리, 고객 충족 서비스"
1221,풋 백 옵션,,사후 손실 보전
1222,풋 액션,,발 동작
1223,퓨처리즘,,미래파
1224,프라이빗 브랜드,,"자체 상표, 개인 브랜드"
1225,프라이빗 시어터,,사설 극장
1226,프라이싱,,"가격 결정, 가격 설정, 가격 책정"
1227,프라임 레이트,,우대 금리
1228,프라임 시간대,,"황금 시간대, 주시청 시간대"
1229,프라임 타임,,황금 시간
1230,프런티어,프론티어,개척자
1231,프레스 디펜스,,밀착 방어
1232,프레스 콜,,언론 시연회
1233,프레스 투어,,기자단 현장 방문
1234,프레스센터,,취재 본부
1235,프레임워크,,"틀, 체제, 체계"
1236,프레콘서트,프리콘서트,"사전 공연, 사전 연주회"
1237,프로덕트 캐리어,,정유 운반선
1238,프로모터,,"행사기획자, 행사기획사"
1239,프로슈머,,참여형 소비자
1240,프로젝션 맵핑,프로젝션 맵핑,"영상 투사 기술, 빛 투사 영상 기술"
1241,프로토콜,,통신 규약
1242,프로토타입,,"원형, 시제품"
1243,프로파간다,,① 선전 ② 선동
1244,프로파일링 마스터,,범죄 분석가
1245,프론트 커버,프론트 커버,"앞표지, 앞 유리 덮개"
1246,프롬프트,,"대본 표시, 동작 안내, 원고 안내"
1247,프롭테크,,부동산 정보 기술
1248,프리 라인,,자유선
1249,프리 리스닝,,자유 듣기
1250,프리 배팅,,타격 연습
1251,프리 서버,,불법 서버
1252,프리 스로,,"자유투, 9m 던지기"
1253,프리 포트,,자유항
1254,프리로드,,기본 탑재
1255,프리캐스팅,,사전 배역
1256,프린징,,장식술
1257,플라모델,프라모델,"조립 모형, 조립 장난감"
1258,플라스틱 어택,,"과대 포장 거부 운동, 일회용품 줄이기"
1259,플라잉,,"매달기, 공중"
1260,플라잉 모빌리티,,근거리 비행 수단
1261,플라잉 시스템,,매달기 방식
1262,플래그,,"깃대, 깃발"
1263,플래그십,,"대표 상품, 주력 상품"
1264,플래그십 마케팅,,대표 상품 마케팅
1265,플래그십 스토어,,"체험판 매장, 체험 매장, 대표 체험 매장"
1266,플래드,,"체크무늬, 바둑판무늬"
1267,플랜테리어,,식물 인테리어
1268,플랜트 수출,,설비 수출
1269,플랫,,"장치 틀, 기본 장치틀"
1270,플랫폼 노동,,(온라인) 매개 노동
1271,플러그 앤드 플레이,플러그 앤 플레이,바로 사용
1272,플레이 스크립트,,극본
1273,플렉시블,플렉서블,"휘는, 유연한"
1274,플로깅,,쓰담 달리기
1275,플리 바기닝,플리 바게닝,"자백 감형제, 자백 감형 제도 "
1276,피버팅,,전략 급선회
1277,피엘 상품,,자체 기획 상품
1278,피크 아웃,,하락 전환
1279,피킹,,가려 내기
1280,피투피,,"개인 간, 개인 간 공유, 개인 공유"
1281,픽토그램,,그림 문자
1282,핀 포인트,,"기준점, 정밀 조준점, 표적"
1283,핀치,,"위기, 위기 상황"
1284,핀테크,,"금융 기술, 금융 기술 서비스"
1285,필로티,,"기둥, 지주"
1286,필로티 방식,,"기둥 방식, 지주(支柱) 방식"
1287,필리버스터,,"합법적 의사진행 저지, 무제한 토론"
1288,필모그래피,,"영화 목록, 작품 목록"
1289,필터 버블,,정보 여과 현상
1290,핑거 페인팅,,손가락 그림
1291,핑거 니팅,,손가락 뜨개
1292,핑거 링,,"손가락 걸이, 손가락 고리"
1293,하드 스킬,,직무 기술
1294,하드 파워,,물리적 영향력
1295,하우징 페어,,"주택 박람회, 주택 산업 박람회"
1296,하이 엔드,,"최상급, 최고 사양"
1297,하이마스트,,높은 기둥
1298,하이퍼 로컬,,동네 생활권
1299,하이픈,,붙임표
1300,하프 오픈 톱,,부분 개방형
1301,핫 머니,,"단기 투기성 자금, 투기성 단기 자금"
1302,해커톤,,"끝장 마라톤 찾기, 끝장 마라톤 토론, 끝장 마라톤 대회, 끝장"
1303,핸드 시그널,,수신호
1304,핸드레일,,안전 손잡이
1305,행 태그,,"꼬리표, 품질 표시표"
1306,허브 사이트,,"굴대 사이트, 중심 사이트"
1307,허브 인프라,,"중심 기반 시설, 주요 기반 시설"
1308,허브 항,,중심 축 항만
1309,헤게모니,,"주도권, 패권"
1310,헤드라이너,,대표 출연자
1311,헤리티지,,"유산, 문화유산"
1312,헤비 업로더,,대량 게재자
1313,헤비 유저,,"대량 사용자, 과다 사용자, 다량 사용자"
1314,헤이트 스피치,,"혐오 발언, 혐오 발언 시위, 혐오 표현, 증오 표현"
1315,헬스 테크,,"(노후) 건강 투자, 건강 기술"
1316,혁신 밸리,,혁신 지구
1317,혁신 파크,,첨단 산업 단지
1318,협업 툴,,협업 도구
1319,호이스트,,"이동용 장치, (인명) 구조 인양기, 인양 장치, 인양기"
1320,홀로그래피,,입체 영상
1321,홈 가드닝,,"가정 원예, 생활 원예, 실내 원예"
1322,홈루덴스,,집놀이족
1323,홈 팜,,가내 텃밭
1324,홈 퍼니싱,,집 꾸미기
1325,홈헬퍼,,"가사 도우미, 가정 도우미"
1326,홈코노미,,재택 경제 활동
1327,화이트 바이오,,"생물 자원 활용 산업 기술, 친환경 자원 생산 기술"
1328,환리스크,,환차 손실
1329,휴머노이드,,인간형 로봇
1330,휴테크,,"여가 활용 기술, 여가 활용 방법"
1331,히트 맵,,열 분포 지도
